bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420031807003,343.0,702.0,6,0.854700982571,100,14.2449998856,56,7.97721004486,285.0,40.5982905983,331.0,38.8497652582
420031903001,736.0,1233.0,9,0.729927003384,58,4.70396995544,132,10.7055997849,67.0,5.43390105434,276.0,22.2760290557
420031903002,466.0,712.0,5,0.702247023582,34,4.77527999878,124,17.4157009125,38.0,5.33707865169,228.0,32.0675105485
420031911001,501.0,973.0,7,0.719424009323,82,8.42753982544,101,10.3802995682,85.0,8.7358684481,524.0,47.5930971844
420031911002,892.0,1452.0,7,0.482093989849,87,5.99174022675,203,13.9806995392,116.0,7.98898071625,374.0,28.5278413425
420031914001,986.0,1413.0,12,0.84925699234,49,3.46779990196,224,15.8528003693,135.0,9.55414012739,603.0,35.366568915
420031914002,750.0,1383.0,14,1.01229000092,199,14.388999939,104,7.51987981796,277.0,20.028922632,341.0,30.8039747064
420031915001,387.0,680.0,5,0.735293984413,68,10.0,51,7.5,128.0,18.8235294118,284.0,35.0617283951
420031915002,781.0,1367.0,15,1.09729003906,117,8.55889034271,140,10.241399765,172.0,12.5822970007,564.0,44.5146014207
420031916001,415.0,819.0,10,1.22099995613,93,11.3552999496,117,14.2856998444,86.0,10.5006105006,147.0,19.3421052632
420031916002,360.0,784.0,16,2.04081988335,124,15.8163003922,83,10.5867004395,189.0,24.1071428571,222.0,40.6593406593
420031916003,328.0,720.0,5,0.694444000721,128,17.7777996063,48,6.66666984558,224.0,31.1111111111,445.0,60.2165087957
420031916004,446.0,877.0,11,1.25427997112,145,16.5335998535,58,6.61345005035,255.0,29.0763968073,684.0,80.5653710247
420031916005,539.0,1095.0,14,1.27854001522,159,14.5205001831,92,8.40182971954,287.0,26.2100456621,377.0,30.0159235669
420031917001,1022.0,2104.0,33,1.56843996048,274,13.0228004456,289,13.7356996536,219.0,10.4087452471,1035.0,41.7507059298
420031917002,265.0,573.0,1,0.174520000815,81,14.1360998154,51,8.90052032471,44.0,7.67888307155,259.0,41.9773095624
420031917003,345.0,771.0,10,1.2970199585,119,15.4344997406,69,8.94941997528,133.0,17.2503242542,292.0,44.0422322775
420031918001,377.0,667.0,8,1.19939994812,88,13.193400383,69,10.3447999954,72.0,10.7946026987,265.0,39.9096385542
420031918002,314.0,686.0,9,1.31194996834,112,16.326499939,68,9.91254043579,55.0,8.01749271137,58.0,16.7630057803
420031918003,332.0,707.0,13,1.83876001835,90,12.7298002243,94,13.2955999374,71.0,10.0424328147,123.0,19.040247678
420031918004,367.0,753.0,11,1.46081995964,94,12.4834003448,79,10.491399765,55.0,7.30411686587,245.0,16.3442294863
420031918005,338.0,689.0,12,1.74164998531,107,15.529800415,100,14.5137996674,62.0,8.99854862119,219.0,47.1982758621
420031918006,440.0,964.0,13,1.34854996204,145,15.0415000916,91,9.43982982635,53.0,5.4979253112,303.0,30.4522613065
420031918007,428.0,856.0,10,1.16822004318,110,12.8505001068,147,17.1728992462,70.0,8.17757009346,328.0,40.6947890819
420031919001,361.0,766.0,14,1.82767999172,115,15.0130996704,63,8.22453975677,52.0,6.78851174935,218.0,30.3621169916
420031919002,412.0,827.0,11,1.33010995388,120,14.5102996826,80,9.6735200882,92.0,11.1245465538,263.0,23.9090909091
420031919003,303.0,590.0,4,0.67796599865,72,12.2033996582,77,13.0508003235,67.0,11.3559322034,217.0,35.867768595
420031920001,372.0,733.0,11,1.50067996979,114,15.5524997711,123,16.7803993225,110.0,15.0068212824,225.0,41.1334552102
420031920002,315.0,668.0,6,0.898204028606,61,9.13173961639,198,29.6406993866,75.0,11.2275449102,249.0,40.0966183575
420031920003,393.0,723.0,7,0.968187987804,103,14.2461996078,68,9.40526008606,117.0,16.1825726141,176.0,31.0405643739
420031920004,453.0,891.0,10,1.12232995033,126,14.1414003372,103,11.5600004196,210.0,23.569023569,632.0,53.3333333333
420031920005,318.0,664.0,6,0.903613984585,92,13.8554000854,49,7.37951993942,146.0,21.9879518072,181.0,36.4185110664
420032022001,670.0,1335.0,18,1.34830999374,197,14.7566003799,128,9.58800983429,459.0,34.3820224719,431.0,38.8989169675
420032022002,270.0,584.0,6,1.02740001678,107,18.3218994141,43,7.36300992966,305.0,52.2260273973,245.0,37.9256965944
420032022003,305.0,649.0,10,1.54083001614,94,14.4837999344,88,13.5593004227,292.0,44.9922958398,188.0,27.2069464544
420032023001,488.0,792.0,8,1.01010000706,56,7.07071018219,29,3.66161990166,202.0,25.5050505051,181.0,24.693042292
420032023002,497.0,1042.0,9,0.863723993301,113,10.844499588,179,17.1784992218,60.0,5.75815738964,178.0,16.4358264081
420032023003,370.0,962.0,9,0.93555098772,97,10.0832004547,269,27.962600708,59.0,6.13305613306,75.0,8.26901874311
